title,price,url
Renault Mégane E-Tech EV60 Techno,38900,https://www.standvirtual.com/anuncio/renault-mgane-e-tech-ev60-techno-ID8PwCyg.html
Mercedes-Benz A 180 d AMG Line Aut.,30900,https://www.standvirtual.com/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PtbvO.html
Audi A3 Sportback 30 TFSI S tronic,22990,https://www.standvirtual.com/anuncio/audi-a3-sportback-30-tfsi-s-tronic-ID8PwSSD.html
Dacia Sandero,13997,https://www.standvirtual.com/anuncio/dacia-sandero-ID8PuAmz.html
MINI One Auto,24400,https://www.standvirtual.com/anuncio/mini-one-auto-ID8PwxGv.html
Toyota Yaris 1.0 VVT-i 20 Anos,14990,https://www.standvirtual.com/anuncio/toyota-yaris-1-0-vvt-i-20-anos-ID8PwTH9.html
Peugeot 208 1.2 PureTech Active,18350,https://www.standvirtual.com/anuncio/peugeot-208-1-2-puretech-active-ID8PwOc0.html
Ford Fiesta,16980,https://www.standvirtual.com/anuncio/ford-fiesta-ID8PuXeG.html
Fiat 500 1.0 Hybrid Dolcevita,17490,https://www.standvirtual.com/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8Pv33d.html
VW Polo 1.0 TSI Confortline,19850,https://www.standvirtual.com/anuncio/vw-polo-1-0-tsi-confortline-ID8PoTAe.html
SEAT Arona 1.0 TSI FR,23250,https://www.standvirtual.com/anuncio/seat-arona-1-0-tsi-fr-ID8PwCOD.html
MINI John Cooper Works Auto Desportiva,35500,https://www.standvirtual.com/anuncio/mini-john-cooper-works-auto-desportiva-ID8PowEz.html
SEAT Ibiza 1.0 TSI Style DSG,21350,https://www.standvirtual.com/anuncio/seat-ibiza-1-0-tsi-style-dsg-ID8PuAkL.html
Audi A5 Sportback 35 TDI S tronic,31750,https://www.standvirtual.com/anuncio/audi-a5-sportback-35-tdi-s-tronic-ID8Pr4ur.html
Renault Zoe Intens 50,25000,https://www.standvirtual.com/anuncio/renault-zoe-intens-50-ID8PuJSe.html
Toyota Yaris 1.0 VVT-i Comfort Plus,17900,https://www.standvirtual.com/anuncio/toyota-yaris-1-0-vvt-i-comfort-plus-ID8PoGmE.html
VW Polo 1.0 TSi Confortline,21900,https://www.standvirtual.com/anuncio/vw-polo-1-0-tsi-confortline-ID8Pr9j0.html
Renault Clio 1.0 TCe Intens,16500,https://www.standvirtual.com/anuncio/renault-clio-1-0-tce-intens-ID8Pnf4e.html
Citroën C3 1.2 PureTech C-Series,16990,https://www.standvirtual.com/anuncio/citron-c3-1-2-puretech-c-series-ID8Pom2y.html
VW Polo 1.0 TSI Highline,21900,https://www.standvirtual.com/anuncio/vw-polo-1-0-tsi-highline-ID8PsKzh.html
BMW i3 94Ah +EXA,24900,https://www.standvirtual.com/anuncio/bmw-i3-94ah-exa-ID8Pwhf5.html
Fiat 500 1.2 RockStar,15400,https://www.standvirtual.com/anuncio/fiat-500-1-2-rockstar-ID8PweAI.html
Renault Clio 1.5 Blue dCi Exclusive,16450,https://www.standvirtual.com/anuncio/renault-clio-1-5-blue-dci-exclusive-ID8Pt3zS.html
Citroën C3 1.2 PureTech Shine,12650,https://www.standvirtual.com/anuncio/citron-c3-1-2-puretech-shine-ID8PqqgN.html
Smart ForTwo EQ Prime,18400,https://www.standvirtual.com/anuncio/smart-fortwo-eq-prime-ID8PuRok.html
Renault Zoe Intens 50,19990,https://www.standvirtual.com/anuncio/renault-zoe-intens-50-ID8PwVxC.html
VW e-Golf AC/DC,23900,https://www.standvirtual.com/anuncio/vw-e-golf-ac-dc-ID8PwSL8.html
Citroën C1 1.0 VTi Feel,12750,https://www.standvirtual.com/anuncio/citron-c1-1-0-vti-feel-ID8Pt4bw.html
Citroën C3 1.2 PureTech Shine,14990,https://www.standvirtual.com/anuncio/citron-c3-1-2-puretech-shine-ID8PugxL.html
Peugeot 308,27990,https://www.standvirtual.com/anuncio/peugeot-308-ID8PwKFR.html
Fiat 500 1.0 Hybrid Dolcevita,17490,https://www.standvirtual.com/anuncio/fiat-500-1-0-hybrid-dolcevita-ID8PsLY8.html
Toyota Yaris 1.0 VVT-i 20 Anos,14990,https://www.standvirtual.com/anuncio/toyota-yaris-1-0-vvt-i-20-anos-ID8PwIIu.html
